As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2024-04-09,EOG,13307410.0000000000,3.2520623167,EOG RESOURCES INC,BBG000BZ9367,US,USD,XNYS,1.0000000000,USD,Energy
2024-04-09,MO,40360321.0000000000,3.0554585972,ALTRIA GROUP INC,BBG000BP6MW1,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2024-04-09,USB,35530550.0000000000,2.8026469662,US BANCORP,BBG000FFFQT4,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,VLO,7769095.0000000000,2.5355448839,VALERO ENERGY CORP,BBG000BBGKP3,US,USD,XNYS,1.0000000000,USD,Energy
2024-04-09,F,89730114.0000000000,2.1709674369,FORD MOTOR,BBG000BQPFG1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,OKE,13293740.0000000000,1.9182927807,ONEOK INC,BBG000BQHJ81,US,USD,XNYS,1.0000000000,USD,Energy
2024-04-09,FAST,13039575.0000000000,1.7853949477,FASTENAL,BBG000BJ96W7,US,USD,XNGS,1.0000000000,USD,Industrials
2024-04-09,KMB,7711773.0000000000,1.7538134624,KIMBERLY CLARK CORP,BBG000BMW672,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2024-04-09,PAYX,7336506.0000000000,1.6393496790,PAYCHEX INC,BBG000BQT1J5,US,USD,XNGS,1.0000000000,USD,Industrials
2024-04-09,HSY,3420339.0000000000,1.1983462638,HERSHEY FOODS,BBG000BLHVZ5,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2024-04-09,LYB,5847502.0000000000,1.0954171728,LYONDELLBASELL INDUSTRIES NV CLASS,BBG000WCFWH2,GB,USD,XNYS,1.0000000000,USD,Materials
2024-04-09,TROW,5099544.0000000000,1.0815342788,T ROWE PRICE GROUP INC,BBG000BVMYQ1,US,USD,XNGS,1.0000000000,USD,Financials
