Holding,Symbol,Weighting
Atlas Copco AB Class B,ATCO.B,0.08%
Stellantis N.V.,STLAP,0.08%
SSE plc,SSE,0.08%
Daimler Truck Holding AG,DTG,0.08%
East Japan Railway Company,9020,0.08%
Sun Pharmaceutical Industries Limited,524715,0.08%
Central Japan Railway Company,9022,0.08%
"Kweichow Moutai Co., Ltd. Class A",600519,0.08%
Tata Motors Limited,500570,0.08%
Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,FEMSAUBD,0.08%
Itau Unibanco Holding S.A. Sponsored ADR Pfd,ITUB,0.07%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.07%
Veolia Environnement SA,VIE,0.07%
Suzuki Motor Corp.,7269,0.07%
Nidec Corporation,6594,0.07%
ICICI Bank Limited,532174,0.07%
Quanta Computer Inc.,2382,0.07%
"Delta Electronics, Inc.",2308,0.07%
Rheinmetall AG,RHM,0.07%
Svenska Handelsbanken AB Class A,SHB.A,0.07%
Kyocera Corporation,6971,0.07%
Wheaton Precious Metals Corp,WPM,0.07%
Novonesis A/S (Novozymes A/S) Class B,NSIS.B,0.07%
Vodafone Group Plc,VOD,0.07%
Astellas Pharma Inc.,4503,0.07%
NTPC Limited,532555,0.07%
"Daiwa House Industry Co., Ltd.",1925,0.07%
DNB Bank ASA,DNB,0.07%
Cellnex Telecom S.A.,CLNX,0.07%
Nokia Oyj,NOKIA,0.07%
"Ajinomoto Co., Inc.",2802,0.07%
Fortis Inc.,FTS,0.07%
Bajaj Finance Limited,500034,0.07%
"Sompo Holdings,Inc.",8630,0.07%
Genmab A/S,GMAB,0.07%
Aristocrat Leisure Limited,ALL,0.07%
Pembina Pipeline Corporation,PPL,0.07%
Maruti Suzuki India Limited,532500,0.07%
Saudi Telecom Co.,7010,0.07%
TDK Corporation,6762,0.07%
Geberit AG,GEBN,0.07%
Legal & General Group Plc,LGEN,0.07%
PT Bank Mandiri (Persero) Tbk,BMRI,0.07%
Franco-Nevada Corporation,FNV,0.07%
Standard Chartered PLC,STAN,0.07%
DSM-Firmenich AG,DSFIR,0.07%
Qatar National Bank QPSC,QNBK,0.07%
Ferrovial SE,FER,0.07%
"Otsuka Holdings Co., Ltd.",4578,0.07%
Danske Bank A/S,DANSKE,0.07%
NIPPON STEEL CORP.,5401,0.07%
Sampo Oyj,SAMPO,0.07%
UPM-Kymmene Oyj,UPM,0.07%
Societe Generale S.A. Class A,GLE,0.07%
Saudi Basic Industries Corp.,2010,0.07%
Imperial Brands PLC,IMB,0.07%
Panasonic Holdings Corporation,6752,0.07%
Titan Company Limited,500114,0.07%
Vonovia SE,VNA,0.07%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.06%
Siemens Healthineers AG,SHL,0.06%
Asian Paints Ltd.,500820,0.06%
Saudi Arabian Mining Co.,1211,0.06%
Coloplast A/S Class B,COLO.B,0.06%
Aviva plc,AV,0.06%
Straumann Holding AG,STMN,0.06%
Sage Group plc,SGE,0.06%
QBE Insurance Group Limited,QBE,0.06%
State Bank of India,500112,0.06%
CTBC Financial Holding Company Ltd.,2891,0.06%
"Fubon Financial Holding Co., Ltd.",2881,0.06%
LG Chem Ltd.,051910,0.06%
NatWest Group Plc,NWG,0.06%
Hannover Rueck SE,HNR1,0.06%
"AEON Co., Ltd.",8267,0.06%
InterContinental Hotels Group PLC,IHG,0.06%
"Japan Post Bank Co., Ltd.",7182,0.06%
CaixaBank SA,CABK,0.06%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.06%
Loblaw Companies Limited,L,0.06%
Emirates Telecommunications Group Company PJSC,EAND,0.06%
PetroChina Company Limited Class H,857,0.06%
FirstRand Limited,FSR,0.06%
KBC Group N.V.,KBC,0.06%
NEC Corp.,6701,0.06%
Olympus Corp.,7733,0.06%
Sonova Holding AG,SOON,0.06%
Power Corporation of Canada,POW,0.06%
Teck Resources Limited Class B,TECK.B,0.06%
First Abu Dhabi Bank P.J.S.C.,FAB,0.06%
Kao Corp.,4452,0.06%
Kuehne & Nagel International AG,KNIN,0.06%
"Nomura Holdings, Inc.",8604,0.06%
Kubota Corporation,6326,0.06%
"Asahi Group Holdings,Ltd.",2502,0.06%
Toyota Industries Corp.,6201,0.06%
NICE Ltd.,NICE,0.06%
Santos Limited,STO,0.06%
Kone Oyj Class B,KNEBV,0.06%
Koninklijke Philips N.V.,PHIA,0.06%
"Mitsubishi Estate Company, Limited",8802,0.06%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.06%
"Yum China Holdings, Inc.",YUMC,0.06%
ENGIE SA. TEMP,Other,0.06%
"PTT Public Co., Ltd.(Alien Mkt)",PTT.F,0.05%
POSCO Holdings Inc. Sponsored ADR,PKX,0.05%
Amcor PLC Shs Chess Depository Interests,AMC,0.05%
Itau Unibanco Holding SA Pfd,ITUB4,0.05%
Henkel AG & Co. KGaA Pref,HEN3,0.05%
Metro Inc.,MRU,0.05%
China Petroleum & Chemical Corporation Class H,386,0.05%
"Japan Exchange Group, Inc.",8697,0.05%
"ASE Technology Holding Co., Ltd.",3711,0.05%
Pandora A/S,PNDORA,0.05%
Tata Steel Limited,500470,0.05%
Bank Hapoalim BM,POLI,0.05%
CLP Holdings Limited,2,0.05%
"China Merchants Bank Co., Ltd. Class H",3968,0.05%
Bunzl plc,BNZL,0.05%
Next plc,NXT,0.05%
"Mega Financial Holding Co., Ltd.",2886,0.05%
Bank Leumi Le-Israel B.M.,LUMI,0.05%
Cochlear Limited,COH,0.05%
UltraTech Cement Limited,532538,0.05%
SEGRO plc,SGRO,0.05%
ITC Limited,500875,0.05%
ArcelorMittal SA,MT,0.05%
Standard Bank Group Limited,SBK,0.05%
"Cathay Financial Holdings Co., Ltd.",2882,0.05%
"Techtronic Industries Co., Ltd.",669,0.05%
Link Real Estate Investment Trust,823,0.05%
Singapore Telecommunications Limited,Z74,0.05%
Emaar Properties (P.J.S.C),EMAAR,0.05%
Unicharm Corporation,8113,0.05%
Credit Agricole SA,ACA,0.05%
Power Grid Corporation of India Limited,532898,0.05%
Kerry Group Plc Class A,KRZ,0.05%
Heidelberg Materials AG,HEI,0.05%
Essity AB Class B,ESSITY.B,0.05%
Symrise AG,SY1,0.05%
Sandoz Group Ltd,SDZ,0.05%
SGS SA,SGSN,0.05%
Riyad Bank,1010,0.05%
"Samsung SDI Co., Ltd",006400,0.05%
Nippon Yusen Kabushiki Kaisha,9101,0.05%
Rentokil Initial plc,RTO,0.05%
Kingspan Group Plc,KRX,0.05%
UCB S.A.,UCB,0.05%
Toyota Tsusho Corp.,8015,0.05%
Thales SA,HO,0.05%
Magna International Inc.,MG,0.05%
Agricultural Bank of China Limited Class H,1288,0.05%
MTU Aero Engines AG,MTX,0.05%
Beiersdorf AG,BEI,0.05%
BE Semiconductor Industries N.V.,BESI,0.05%
Akzo Nobel N.V.,AKZA,0.05%
"Sekisui House, Ltd.",1928,0.05%
"Shionogi & Co., Ltd.",4507,0.05%
Prysmian S.p.A.,PRY,0.05%
CK Hutchison Holdings Ltd,1,0.05%
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,0.05%
"Secom Co., Ltd.",9735,0.05%
Tourmaline Oil Corp.,TOU,0.05%
Inpex Corporation,1605,0.05%
Aena SME SA,AENA,0.05%
VAT Vakuumventile AG,VACN,0.05%
Erste Group Bank AG,EBS,0.05%
"New Oriental Education & Technology Group, Inc.",9901,0.05%
Edenred SA,EDEN,0.05%
Coles Group Ltd.,COL,0.05%
Informa Plc,INF,0.05%
Suncorp Group Limited,SUN,0.05%
SUBARU CORP,7270,0.05%
Malayan Banking Bhd.,1155,0.05%
Oil & Natural Gas Corp. Ltd.,500312,0.05%
Brambles Limited,BXB,0.05%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.05%
Adani Enterprises Limited,512599,0.05%
Swisscom AG,SCMN,0.05%
Teva Pharmaceutical Industries Limited,TEVA,0.05%
Logitech International S.A.,LOGN,0.05%
Nitto Denko Corp.,6988,0.05%
NN Group N.V.,NN,0.05%
China Shenhua Energy Co. Ltd. Class H,1088,0.05%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.05%
