Holding,Symbol,Weighting
Astro Malaysia Holdings Bhd.,6399,0.0%
Shui On Land Ltd.,272,0.0%
"China Merchants Securities Co., Ltd. Class A",600999,0.0%
Peptidream Inc.,4587,0.0%
Taiji Computer Corporation Limited Class A,002368,0.0%
"Yunda Holding Co., Ltd. Class A",002120,0.0%
Coca-Cola Icecek A.S.,CCOLA.E,0.0%
Astor Enerji A.S.,ASTOR.E,0.0%
Dian Diagnostics Group Co. Ltd. Class A,300244,0.0%
Pegasus Hava Tasimaciligi Anonim Sirketi,PGSUS.E,0.0%
AS ONE Corporation,7476,0.0%
"Hunan Yuneng New Energy Battery Material Co., Ltd. Class A",301358,0.0%
Aydem Yenilenebilir Enerji AS,AYDEM.E,0.0%
Qi An Xin Technology Group Inc. Class A,688561,0.0%
Magazine Luiza S.A.,MGLU3,0.0%
"Tonghua Dongbao Pharmaceutical Co., Ltd. Class A",600867,0.0%
"CSG Holding Co., Ltd. Class B",200012,0.0%
KCC Corporation,002380,0.0%
"Shenzhen Agricultural Products Group Co., Ltd. Class A",000061,0.0%
"Tunghsu Optoelectronic Technology Co., Ltd. Class A",000413,0.0%
"Guangzhou Zhujiang Brewery Co., Ltd. Class A",002461,0.0%
Chongqing Changan Automobile Company Limited Class A,000625,0.0%
"Anhui Anke Biotechnology (Group) Co., Ltd. Class A",300009,0.0%
Burgan Bank,BURG,0.0%
General Insurance Corporation of India,540755,0.0%
Is Gayrimenkul Yatirim Ortakligi A.S.,ISGYO.E,0.0%
C&D International Investment Group Ltd.,1908,0.0%
Will Semiconductor Ltd. Class A,603501,0.0%
Shanghai Jinqiao Export Processing Zone Development Co. Ltd. Class A,600639,0.0%
CPFL Energia S.A.,CPFE3,0.0%
PT Bank Syariah Indonesia Tbk,BRIS,0.0%
"Ovctek China, Inc. Class A",300595,0.0%
"Daiichikosho Co., Ltd.",7458,0.0%
China Motor Corporation,2204,0.0%
"Bank of Chengdu Co., Ltd. Class A",601838,0.0%
Magellan Financial Group Ltd,MFG,0.0%
"Eoptolink Technology Inc., Ltd. Class A",300502,0.0%
FP Corporation,7947,0.0%
"ABC-MART, INC.",2670,0.0%
COSCO SHIPPING Ports Limited,1199,0.0%
"Guotai Junan Securities Co., Ltd. Class H",2611,0.0%
"Paradise Co., Ltd",034230,0.0%
"An Hui Wenergy Co., Ltd. Class A",000543,0.0%
Xiamen International Trade Group Corp. Ltd. Class A,600755,0.0%
China Suntien Green Energy Corporation Limited Class H,956,0.0%
Titan Cement International N.V.,TITC,0.0%
Yancoal Australia Ltd.,YAL,0.0%
Turkiye Vakiflar Bankasi Turk Anonim Ortakligi,VAKBN.E,0.0%
Emami Limited,531162,0.0%
"Skyworth Digital Co., Ltd. Class A",000810,0.0%
Zheshang Securities Co. Ltd. Class A,601878,0.0%
Swire Pacific Limited Class B,87,0.0%
Apeloa Pharmaceutical Co. Ltd. Class A,000739,0.0%
"Wanxiang Qianchao Co., Ltd. Class A",000559,0.0%
Ping An Healthcare and Technology Company Limited,1833,0.0%
Shanghai Huayi Group Corporation Ltd. Class B,900909,0.0%
"Camel Group Co., Ltd. Class A",601311,0.0%
Concentradora Fibra Danhos SA de CV,DANHOS13,0.0%
"China Three Gorges Renewables (Group) Co., Ltd. Class A",600905,0.0%
"Liaoning Cheng Da Co., Ltd. Class A",600739,0.0%
"China Merchants Energy Shipping Co., Ltd. Class A",601872,0.0%
Life Healthcare Group Holdings Limited,LHC,0.0%
Hoyuan Green Energy Co. Ltd. Class A,603185,0.0%
"Beijing TongRenTang Co., Ltd. Class A",600085,0.0%
BinDawood Holding Company,4161,0.0%
Beijing Kingsoft Office Software. Inc. Class A,688111,0.0%
Mangalore Refinery & Petrochemicals Ltd.,500109,0.0%
Lotte Corp,004990,0.0%
Everdisplay Optronics (Shanghai) Co. Ltd. Class A,688538,0.0%
Borusan Yatirim ve Pazarlama AS,BRYAT.E,0.0%
Business-Intelligence of Oriental Nations Corporation Ltd. Class A,300166,0.0%
"Shandong Linglong Tyre Co., Ltd. Class A",601966,0.0%
Jiangsu Expressway Co. Ltd. Class H,177,0.0%
"China Merchants Port Group Co., Ltd. Class A",001872,0.0%
Jiumaojiu International Holdings Ltd.,9922,0.0%
"Samsung Card Co., Ltd",029780,0.0%
"Yifan Pharmaceutical Co., Ltd. Class A",002019,0.0%
Turkiye Halk Bankasi Anonim Sirketi,HALKB.E,0.0%
Magyar Telekom Telecommunications PLC,MTEL,0.0%
"China Baoan Group Co., Ltd. Class A",000009,0.0%
"Bestechnic (Shanghai) Co., Ltd. Class A",688608,0.0%
Emperador Inc.,EMI,0.0%
"Nanjing Securities Co., Ltd. Class A",601990,0.0%
"Bright Dairy & Food Co., Ltd. Class A",600597,0.0%
"Suzhou Novosense Microelectronics Co., Ltd. Class A",688052,0.0%
Minth Group Limited,425,0.0%
China MeiDong Auto Holdings Ltd.,1268,0.0%
"Jiajiayue Group Co., Ltd. Class A",603708,0.0%
"Shikoku Electric Power Company, Incorporated",9507,0.0%
"HANWHA LIFE INSURANCE Co., Ltd.",088350,0.0%
"Solus Advanced Materials Co., Ltd.",336370,0.0%
NWS Holdings Limited,659,0.0%
Xiamen Tungsten Co. Ltd. Class A,600549,0.0%
"Jointown Pharmaceutical Group Co., Ltd. Class A",600998,0.0%
Intelbras SA Industria de Telecomunicacao Eletronica Brasileir,INTB3,0.0%
"China Vanke Co., Ltd Class A",000002,0.0%
Shandong Xinchao Energy Corp. Ltd. Class A,600777,0.0%
"Lakala Payment Co., Ltd. Class A",300773,0.0%
Hanwha Corp,000880,0.0%
GR. SARANTIS S.A.,SAR,0.0%
"Betta Pharmaceuticals Co., Ltd. Class A",300558,0.0%
Walsin Technology Corporation,2492,0.0%
"Zhejiang Huace Film & TV Co., Ltd. Class A",300133,0.0%
"Zhejiang Huayou Cobalt Co., Ltd. Class A",603799,0.0%
"SSANGYONGC&E.CO.,LTD.",003410,0.0%
"Shanghai Construction Group Co., Ltd. Class A",600170,0.0%
KATITAS CO. LTD.,8919,0.0%
"Beijing Urban Construction Investment & Development Co. , Ltd. Class A",600266,0.0%
Aisino Corp. Class A,600271,0.0%
E-MART Inc.,139480,0.0%
Yifeng Pharmacy Chain Co Ltd Class A,603939,0.0%
VTB Bank PJSC,VTBR,0.0%
"Hainan Airport Infrastructure Co., Ltd. Class A",600515,0.0%
Zoomlion Heavy Industry Science & Technology Co. Ltd. Class H,1157,0.0%
K\'S Holdings Corporation,8282,0.0%
Advanced Petrochemical Co.,2330,0.0%
"Citic Pacific Special Steel Group Co., Ltd. Class A",000708,0.0%
ODAS Elektrik Uretim Sanayi Ticaret A.S.,ODAS.E,0.0%
Anritsu Corporation,6754,0.0%
Evraz PLC,EVR,0.0%
Guizhou Zhenhua E-Chem Inc. Class A,688707,0.0%
Domain Holdings Australia Ltd.,DHG,0.0%
"Canmax Technologies Co., Ltd. Class A",300390,0.0%
"Pharmaron Beijing Co., Ltd. Class H",3759,0.0%
Aguas Andinas SA Class A,AGUAS.A,0.0%
"Shanghai Aiko Solar Energy Co., Ltd. Class A",600732,0.0%
"Sunresin New Materials Co., Ltd. Class A",300487,0.0%
"Shanghai Dazhong Public Utilities (Group) Co., Ltd. Class A",600635,0.0%
"Yuneng Technology Co., Ltd. Class A",688348,0.0%
Kordsa Teknik Tekstil A.S.,KORDS.E,0.0%
Takara Bio Inc.,4974,0.0%
EuroTeleSites AG,ETS,0.0%
China Everbright Environment Group Limited,257,0.0%
San Miguel Corporation,SMC,0.0%
"Shandong Nanshan Aluminium Co., Ltd. Class A",600219,0.0%
China Coal Energy Co. Ltd. Class A,601898,0.0%
Globe Telecom Inc.,GLO,0.0%
"Central China Securities Co., Ltd. Class H",1375,0.0%
"China XD Electric Co., Ltd. Class A",601179,0.0%
"Beijing Capital International Airport Co., Ltd. Class H",694,0.0%
Yangzijiang Financial Holding Ltd.,YF8,0.0%
EVE Energy Co. Ltd. Class A,300014,0.0%
Plaza SA,MALLPLAZA,0.0%
Vitasoy International Holdings Limited,345,0.0%
Xiamen C&D Inc. Class A,600153,0.0%
Do-Fluoride New Materials Co. Ltd. Class A,002407,0.0%
"Daqin Railway Co., Ltd. Class A",601006,0.0%
Yankuang Energy Group Company Limited Class A,600188,0.0%
ALFA SOLAR ENERJI SANAYI VE TICARET A.S.,ALFAS.E,0.0%
"Sichuan Teway Food Group Co., Ltd. Class A",603317,0.0%
Xtep International Holdings Limited,1368,0.0%
"Hangzhou Shunwang Technology Co., Ltd. Class A",300113,0.0%
"Mango Excellent Media Co., Ltd. Class A",300413,0.0%
"Eyebright Medical Technology (Beijing) Co., Ltd. Class A",688050,0.0%
Sun Art Retail Group Limited,6808,0.0%
"Maccura Biotechnology Co., Ltd. Class A",300463,0.0%
China Resources Building Materials Technology Holdings Limited,1313,0.0%
Zhejiang Daily Digital Culture Group Co Ltd Class A,600633,0.0%
Goldwind Science & Technology Co. Ltd. Class H,2208,0.0%
kakaopay Corp.,377300,0.0%
Keboda Technology Co. Ltd. Class A,603786,0.0%
Yayla Agro Gida Sanayi ve Nakliyat AS,YYLGD.E,0.0%
CETC Cyberspace Security Technology Co. Ltd. Class A,002268,0.0%
Lens Technology Co. Ltd. Class A,300433,0.0%
Hundsun Technologies Inc. Class A,600570,0.0%
Guangzhou Haige Communications Group Incorporated Company Class A,002465,0.0%
"Suzhou Gold Mantis Construction and Decoration Co., Ltd. Class A",002081,0.0%
"Taisho Pharmaceutical Holdings Co., Ltd.",4581,0.0%
Apex Investment PSC,APEX,0.0%
Boral Limited,BLD,0.0%
Bank of India,532149,0.0%
"GS Retail Co., Ltd.",007070,0.0%
"Ningbo Tuopu Group Co., Ltd. Class A",601689,0.0%
Grupo Mateus SA,GMAT3,0.0%
Beijing Yuanliu Hongyuan Electronic Technology Co. Ltd. Class A,603267,0.0%
"Montnets Cloud Technology Group Co., Ltd Class A",002123,0.0%
"Ginlong Technologies Co., Ltd. Class A",300763,0.0%
Telekom Austria AG,TKA,0.0%
"Shenzhen Kaifa Technology Co., Ltd Class A",000021,0.0%
"Yantai Changyu Pioneer Wine Co., Ltd. Class A",000869,0.0%
Trina Solar Ltd Class A,688599,0.0%
"Hyundai Mipo Dockyard Co., Ltd",010620,0.0%
Selcuk Ecza Deposu Ticaret ve Sanayi A.S.,SELEC.E,0.0%
"Zhejiang CONBA Pharmaceutical Co., Ltd. Class A",600572,0.0%
"Bank of Beijing Co., Ltd. Class A",601169,0.0%
East Buy Holding Limited,1797,0.0%
"Shanghai Fudan Microelectronics Group Co., Ltd. Class H",1385,0.0%
China Eastern Airlines Corporation Limited Class H,670,0.0%
"Sinolink Securities Co., Ltd. Class A",600109,0.0%
Viohalco SA/NV,VIO,0.0%
"CanSino Biologics, Inc. Class A",688185,0.0%
Ziraat Gayrimenkul Yatirim Ortakligi AS,ZRGYO.E,0.0%
Hangzhou Changchuan Technology Co. Ltd. Class A,300604,0.0%
Inner Mongolia MengDian HuaNeng Thermal Power Corporation Limited Class A,600863,0.0%
"Wangsu Science & Technology Co., Ltd. Class A",300017,0.0%
Tianneng Battery Group Co Ltd Class A,688819,0.0%
"Power Construction Corporation of China, Ltd. Class A",601669,0.0%
"Bank of Qingdao Co., Ltd. Class A",002948,0.0%
"Hisense Home Appliances Group Co., Ltd. Class A",000921,0.0%
Tongwei Co. Ltd. Class A,600438,0.0%
"Shanxi Securities Co., Ltd. Class A",002500,0.0%
China Greatwall Technology Group Co Ltd Class A,000066,0.0%
"China Merchants Shekou Industrial Zone Holdings Co., Ltd. Class A",001979,0.0%
"Ship Healthcare Holdings, Inc.",3360,0.0%
"LOTTE Fine Chemical Co,. Ltd.",004000,0.0%
"Zhejiang Shuanghuan Driveline Co., Ltd. Class A",002472,0.0%
Platinum Asset Management Ltd,PTM,0.0%
"Hoymiles Power Electronics, Inc. Class A",688032,0.0%
SKYCITY Entertainment Group Limited,SKC,0.0%
"Chinese Universe Publishing & Media Group Co., Ltd. Class A",600373,0.0%
Hwatsing Technology Co. Ltd. Class A,688120,0.0%
Luye Pharma Group Ltd.,2186,0.0%
Autohome Inc. Class A,2518,0.0%
"Beijing Capital Eco-Environment Protection Group Co.,Ltd. Class A",600008,0.0%
DMCI Holdings Inc.,DMC,0.0%
"Pingdingshan Tianan Coal Mining Co., Ltd. Class A",601666,0.0%
Jiangsu Guoxin Corp. Ltd. Class A,002608,0.0%
Soochow Securities Co Ltd Class A,601555,0.0%
"Suzhou Anjie Technology Co., Ltd. Class A",002635,0.0%
Penta Teknoloji Urunleri Dagitim Ticaret AS,PENTA.E,0.0%
PT Jasa Marga (Persero) Tbk Class B,JSMR,0.0%
"Shenzhen Hepalink Pharmaceutical Group Co., Ltd. Class A",002399,0.0%
"Rockchip Electronics Co., Ltd. Class A",603893,0.0%
"Flat Glass Group Co., Ltd. Class A",601865,0.0%
GalaxyCore Inc. Class A,688728,0.0%
Oriental Pearl Group Co. Ltd. Class A,600637,0.0%
"Xinhu Zhongbao Co., Ltd. Class A",600208,0.0%
ORIENT SECURITIES CO LTD Class A,600958,0.0%
"Ningxia Baofeng Energy Group Co., Ltd. Class A",600989,0.0%
"Tangshan Sanyou Chemical Industries Co., Ltd. Class A",600409,0.0%
"Guangdong Baolihua New Energy Stock Co., Ltd Class A",000690,0.0%
"Benesse Holdings, Inc.",9783,0.0%
"Shenzhen Kinwong Electronic Co., Ltd. Class A",603228,0.0%
Fancl Corporation,4921,0.0%
Leo Group Co. Ltd. Class A,002131,0.0%
Reitir fasteignafelag hf,REITIR,0.0%
Koza Altin Isletmeleri A.S.,KOZAL.E,0.0%
Guangshen Railway Company Limited Class A,601333,0.0%
"STO Express Co., Ltd. Class A",002468,0.0%
Turk Telekomunikasyon A.S.,TTKOM.E,0.0%
"CanSino Biologics, Inc. Class H",6185,0.0%
ADBRI Limited,ABC,0.0%
"Hangzhou Iron & Steel Co., Ltd. Class A",600126,0.0%
MGM China Holdings Limited,2282,0.0%
Taiwan Glass Industry Corp.,1802,0.0%
Fosun International Limited,656,0.0%
"Matsui Securities Co., Ltd.",8628,0.0%
"Chongqing Water Group Co., Ltd. Class A",601158,0.0%
"Jinke Smart Services Group Co., Ltd. Class H",9666,0.0%
Shanghai Shibei Hi-Tech Co. Ltd. Class B,900902,0.0%
Compagnie de l\'Odet SE,ODET,0.0%
"Shandong Sunpaper Co., Ltd. Class A",002078,0.0%
TRATON SE,8TRA,0.0%
China International Capital Corp. Ltd. Class A,601995,0.0%
DENTSU SOKEN INC.,4812,0.0%
Kerry Properties Limited,683,0.0%
Zhejiang Weixing New Building Materials Co. Ltd. Class A,002372,0.0%
"SK Networks Co., Ltd.",001740,0.0%
Ratch Group Public Co. Ltd.,RATCH,0.0%
Cathay Biotech Inc. Class A,688065,0.0%
Everbright Securities Company Limited Class H,6178,0.0%
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited Class H,874,0.0%
Inter RAO UES PJSC,IRAO,0.0%
"Hangzhou Tigermed Consulting Co., Ltd. Class A",300347,0.0%
"360 Security Technology, Inc. Class A",601360,0.0%
SEB SA,SK,0.0%
HLA Group Corp. Ltd. Class A,600398,0.0%
Kansai Nerolac Paints Limited,500165,0.0%
"Guangzhou Yuexiu Capital Holdings Group Co., Ltd. Class A",000987,0.0%
"JCR Pharmaceuticals Co., Ltd.",4552,0.0%
Hainan Mining Co Ltd,601969,0.0%
Eimskipafelag Islands hf.,EIM,0.0%
Hunan Gold Corp. Ltd. Class A,002155,0.0%
"Shenzhen Salubris Pharmaceuticals Co., Ltd. Class A",002294,0.0%
MOG Digitech Holdings Limited,1942,0.0%
"Guangdong Electric Power Development Co., Ltd Class A",000539,0.0%
Shanxi Taigang Stainless Steel Co. Ltd. Class A,000825,0.0%
"Xinxing Ductile Iron Pipes Co., Ltd. Class A",000778,0.0%
"JA Solar Technology Co., Ltd. Class A",002459,0.0%
"Hangzhou Oxygen Plant Group Co., Ltd. Class A",002430,0.0%
"Avic (Chengdu) UAS Co., Ltd. Class A",688297,0.0%
"Kuang-Chi Technologies Co., Ltd. Class A",002625,0.0%
"Jiangsu Cnano Technology Co., Ltd. Class A",688116,0.0%
Daio Paper Corporation,3880,0.0%
"Haitong Securities Co., Ltd. Class A",600837,0.0%
"Sanken Electric Co., Ltd.",6707,0.0%
"3SBio, Inc.",1530,0.0%
"Shenwan Hongyuan Group Co., Ltd. Class H",6806,0.0%
"State Grid Yingda Co., Ltd. Class A",600517,0.0%
Relaxo Footwears Limited,530517,0.0%
"Hengli Petrochemical Co., Ltd. Class A",600346,0.0%
"Shijiazhuang Yiling Pharmaceutical Co., Ltd. Class A",002603,0.0%
Sinopec Shanghai Petrochemical Co. Ltd. Class H,338,0.0%
"Relo Group, Inc.",8876,0.0%
"Jiugui Liquor Co., Ltd. Class A",000799,0.0%
TAV Havalimanlari Holding A.S.,TAVHL.E,0.0%
China Traditional Chinese Medicine Holdings Co. Ltd.,570,0.0%
"Workman Co., Ltd.",7564,0.0%
"SK bioscience Co.,Ltd.",302440,0.0%
"Zhejiang Wanliyang Co., Ltd. Class A",002434,0.0%
Kingsoft Cloud Holdings Ltd.,3896,0.0%
AG Anadolu Grubu Holding Anonim Sirketi,AGHOL.E,0.0%
"FangDa Carbon New Material Co., Ltd. Class A",600516,0.0%
Ningbo Orient Wires & Cables Co Ltd Class A,603606,0.0%
"Tokai Carbon Co., Ltd.",5301,0.0%
"Shanghai Chengtou Holding Co., Ltd. Class A",600649,0.0%
"Chengdu Kanghong Pharmaceutical Group Co., Ltd. Class A",002773,0.0%
Hunan Corun New Energy Co. Ltd. Class A,600478,0.0%
"Shenzhen Kstar Science and Technology Co., Ltd. Class A",002518,0.0%
SCG Packaging Public Co Ltd,SCGP,0.0%
"BlueFocus Intelligent Communications Group Co., Ltd. Class A",300058,0.0%
Wuxi Autowell Technology Co. Ltd. Class A,688516,0.0%
Airport City Ltd,ARPT,0.0%
Towngas Smart Energy Company Limited,1083,0.0%
PT Avia Avian Tbk,AVIA,0.0%
"China Fortune Land Development Co., Ltd. Class A",600340,0.0%
"Shanxi Coking Coal Energy Group Co., Ltd Class A",000983,0.0%
"SK Chemicals Co., Ltd.",285130,0.0%
"Sichuan Yahua Industrial Group Co., Ltd. Class A",002497,0.0%
"China Resources Boya Bio-pharmaceutical Group Co., Ltd. Class A",300294,0.0%
"Ganfeng Lithium Group Co., Ltd. Class A",002460,0.0%
"Fuji Media Holdings, Inc.",4676,0.0%
"Zhuzhou Kibing Group Co., Ltd. Class A",601636,0.0%
Ottogi Corp.,007310,0.0%
Jiangsu Pacific Quartz Co Ltd Class A,603688,0.0%
"Sany Heavy Industry Co., Ltd. Class A",600031,0.0%
"Wemade Co., Ltd.",112040,0.0%
Red Star Macalline Group Corporation Ltd Class A,601828,0.0%
Cencosud Shopping SA,CENCOSHOPP,0.0%
"G-Bits Network Technology (Xiamen) Co., Ltd. Class A",603444,0.0%
"China Galaxy Securities Co., Ltd. Class A",601881,0.0%
"China Minsheng Banking Corp., Ltd. Class A",600016,0.0%
"Unigroup Guoxin Microelectronics Co., Ltd. Class A",002049,0.0%
Philip Morris CR as,TABAK,0.0%
"JL Mag Rare-Earth Co., Ltd. Class A",300748,0.0%
Cafe de Coral Holdings Ltd.,341,0.0%
"Shanxi Meijin Energy Co., Ltd. Class A",000723,0.0%
Zangge Mining Company Limited Class A,000408,0.0%
China National Accord Medicines Corporation Ltd Class B,200028,0.0%
"Shanghai Bailian Group Co., Ltd. Class B",900923,0.0%
"Shanghai Junshi Biosciences Co., Ltd. Class A",688180,0.0%
"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd. Class A",002223,0.0%
"Hangzhou Great Star Industrial Co., Ltd. Class A",002444,0.0%
Three Squirrels Inc. Class A,300783,0.0%
"COSCO SHIPPING Holdings Co., Ltd. Class A",601919,0.0%
AB Sagax,SAGA.D,0.0%
"Sansteel MinGuang Co., Ltd., Fujian Class A",002110,0.0%
PearlAbyss Corp.,263750,0.0%
GIRISIM ELEKTRIK SANAYI TAAHHUT VE TICARET A.S.,GESAN.E,0.0%
"GD Power Development Co., Ltd Class A",600795,0.0%
Topchoice Medical Corp. Class A,600763,0.0%
Seres Group Co. Ltd. Class A,601127,0.0%
"Universal Scientific Industrial (Shanghai) Co., Ltd. Class A",601231,0.0%
"Guangxi Liugong Machinery Co., Ltd Class A",000528,0.0%
Aker ASA Class A,AKER,0.0%
"Grandjoy Holdings Group Co., Ltd. Class A",000031,0.0%
China Resources Microelectronics Ltd. Class A,688396,0.0%
"GF Securities Co., Ltd. Class A",000776,0.0%
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,AHGAZ.E,0.0%
Petronas Dagangan Bhd.,5681,0.0%
"Jionto Energy Investment Co., Ltd. Hebei Class A",000600,0.0%
"WUS PRINTED CIRCUIT (KUNSHAN) CO., LTD. Class A",002463,0.0%
Vestel Beyaz Esya Sanayi ve Ticaret A.S.,VESBE.E,0.0%
Angelalign Technology Inc.,6699,0.0%
"SDIC Power Holdings Co., Ltd. Class A",600886,0.0%
Torunlar Gayrimenkul Yatirim Ortakligi A.S.,TRGYO.E,0.0%
"China Taiping Insurance Holdings Co., Ltd.",966,0.0%
China Eastern Airlines Corporation Limited Class A,600115,0.0%
Greentown China Holdings Ltd.,3900,0.0%
Human Soft Holding Co. KSCC,HUMANSOFT,0.0%
Nippon Life India Asset Management Ltd.,540767,0.0%
"Blue Sail Medical Co., Ltd. Class A",002382,0.0%
Emirates Central Cooling Systems Corporation PJSC,EMPOWER,0.0%
Nanjing Hanrui Cobalt Co. Ltd. Class A,300618,0.0%
Wynn Macau Ltd.,1128,0.0%
"Hengdian Group DMEGC Magnetics Co., Ltd Class A",002056,0.0%
"China Nonferrous Metal Industry\'s Foreign Engineering and Construction Co., Ltd. Class A",000758,0.0%
Otokar Otomotiv ve Savunma Sanayi A.S.,OTKAR.E,0.0%
Yihai Kerry Arawana Holdings Co. Ltd. Class A,300999,0.0%
"GT Capital Holdings, Inc.",GTCAP,0.0%
"Pangang Group Vanadium Titanium and Resources Co., Ltd. Class A",000629,0.0%
JMDC Inc.,4483,0.0%
Castrol India Limited,500870,0.0%
Chifeng Jilong Gold Mining Co. Ltd. Class A,600988,0.0%
"Yunnan Energy New Material Co., Ltd. Class A",002812,0.0%
Telefonaktiebolaget LM Ericsson Class A,ERIC.A,0.0%
Usinas Siderurgicas de Minas Gerais SA-Usiminas,USIM3,0.0%
"Shanghai M&G Stationery, Inc.",603899,0.0%
SSAB AB Class A,SSAB.A,0.0%
Zhejiang Quartz Crystal Optoelectronic Technology Co Ltd Class A,002273,0.0%
Companhia Siderurgica Nacional,CSNA3,0.0%
"Shanxi Coal International Energy Group Co., Ltd. Class A",600546,0.0%
Gemdale Corporation Class A,600383,0.0%
"COSCO SHIPPING Development Co., Ltd. Class H",2866,0.0%
"BOC International (China) Co., Ltd. Class A",601696,0.0%
Avicopter Plc Class A,600038,0.0%
Harel Insurance Investments & Financial Services Ltd.,HARL,0.0%
"Changzhou Xingyu Automotive Lighting Systems Co., Ltd Class A",601799,0.0%
"Micro-Tech (Nanjing) Co., Ltd. Class A",688029,0.0%
"Lotte Chilsung Beverage Co., Ltd",005300,0.0%
"Zhejiang Huahai Pharmaceutical Co., Ltd. Class A",600521,0.0%
"Shanghai Putailai New Energy Technology Co., Ltd. Class A",603659,0.0%
"Anker Innovations Technology Co., Ltd. Class A",300866,0.0%
Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S.,BRISA.E,0.0%
"ChinaLin Securities Co., Ltd. Class A",002945,0.0%
"Shijiazhuang Changshan Beiming Technology Co., Ltd. Class A",000158,0.0%
"VeriSilicon Microelectronics (Shanghai) Co., Ltd. Class A",688521,0.0%
"Ningbo Shanshan Co., Ltd. Class A",600884,0.0%
"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. Class A",600196,0.0%
Fattal Holdings (1998) Ltd.,FTAL,0.0%
"Guangzhou Wondfo Biotech Co., Ltd. Class A",300482,0.0%
Shanghai Lingang Holdings Corp. Ltd. Class A,600848,0.0%
Kimteks Poliuretan Sanayi ve Ticaret AS,KMPUR.E,0.0%
Chongqing Rural Commercial Bank Co. Ltd. Class A,601077,0.0%
Airtel Africa Plc,AAF,0.0%
Enel Chile SA,ENELCHILE,0.0%
"Navinfo Co., Ltd. Class A",002405,0.0%
ASKUL Corporation,2678,0.0%
"Shandong Publishing & Media Co., Ltd. Class A",601019,0.0%
Nuh Cimento Sanayi A.S.,NUHCM.E,0.0%
Tekfen Holding Anonim Sirketi,TKFEN.E,0.0%
Shenzhen Investment Limited,604,0.0%
"HUAXI Securities Co., Ltd. Class A",002926,0.0%
"Hangzhou Lion Electronics Co., Ltd. Class A",605358,0.0%
"Sany Renewable Energy Co., Ltd. Class A",688349,0.0%
"Yulon Nissan Motor Co., Ltd.",2227,0.0%
"CITIC Heavy Industries Co., Ltd. Class A",601608,0.0%
"Guangzhou Automobile Group Co., Ltd. Class A",601238,0.0%
"Formosa Taffeta Co., Ltd.",1434,0.0%
"Zhengzhou Coal Mining Machinery Group Co., Ltd. Class A",601717,0.0%
United Electronics Co.,4003,0.0%
China Railway Signal & Communication Corporation Ltd Class A,688009,0.0%
Tianqi Lithium Corp. Class H,9696,0.0%
"Dongxing Securities Co., Ltd.",601198,0.0%
Wolong Electric Group Co. Limited Class A,600580,0.0%
Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS,BASGZ.E,0.0%
"Tsinghua Tongfang Co., Ltd. Class A",600100,0.0%
BBMG Corporation Class A,601992,0.0%
"Wonders Information Co., Ltd. Class A",300168,0.0%
"Gan & Lee Pharmaceuticals Co., Ltd. Class A",603087,0.0%
"Ganfeng Lithium Group Co., Ltd. Class H",1772,0.0%
Top Glove Corporation Bhd.,7113,0.0%
"Shenzhen SED Industry Co., Ltd. Class A",000032,0.0%
"Hygeia Healthcare Holdings Co., Ltd.",6078,0.0%
Maanshan Iron & Steel Co. Ltd. Class H,323,0.0%
"Asymchem Laboratories (Tianjin) Co., Ltd. Class A",002821,0.0%
"Seven Bank, Ltd.",8410,0.0%
"Huadong Medicine Co., Ltd. Class A",000963,0.0%
China Jinmao Holdings Group Limited,817,0.0%
Sinotrans Ltd. Class H,598,0.0%
Huabao International Holdings Limited,336,0.0%
Sinopec Oilfield Service Corporation Class H,1033,0.0%
China Everbright Limited,165,0.0%
Yamamah Saudi Cement Co.,3020,0.0%
"Aier Eye Hospital Group Co., Ltd. Class A",300015,0.0%
S.N. Nuclearelectrica S.A.,SNN,0.0%
"People.cn Co., Ltd. Class A",603000,0.0%
"Hengyi Petrochemical Co., Ltd. Class A",000703,0.0%
Xiamen Faratronic Co. Ltd. Class A,600563,0.0%
"ACM Research (Shanghai), Inc. Class A",688082,0.0%
Alliance Bank Malaysia Bhd.,2488,0.0%
Henan Shenhuo Coal Industary and Electricity Power Corporation Limited Class A,000933,0.0%
Qatar Aluminium Manufacturing Company,QAMC,0.0%
Cathay Pacific Airways Limited,293,0.0%
NagaCorp Ltd.,3918,0.0%
"Vamos Locacao de Caminhoes, Maquinas e Equipamentos SA",VAMO3,0.0%
"Nippon Shokubai Co., Ltd.",4114,0.0%
"Fuji Oil Holdings, Inc.",2607,0.0%
"New Hope Liuhe Co., Ltd. Class A",000876,0.0%
"Kunlun Tech Co., Ltd. Class A",300418,0.0%
Yuexiu Property Company Limited,123,0.0%
Weifu High-Technology Group Co. Ltd. Class A,000581,0.0%
Sok Marketler Ticaret AS,SOKM.E,0.0%
BGI Genomics Co. Ltd. Class A,300676,0.0%
"Shenergy Co., Ltd. Class A",600642,0.0%
Ningbo Joyson Electronic Corp. Class A,600699,0.0%
"Zhefu Holding Group Co., Ltd. Class A",002266,0.0%
