Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SYY","SYSCO CORP","Consumer Staples","Equity","61,278,348.06","0.23","61,278,348.06","798,519.00","76.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","60,589,522.75","0.23","60,589,522.75","1,018,825.00","59.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","60,509,121.90","0.23","60,509,121.90","262,410.00","230.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","60,165,261.92","0.22","60,165,261.92","93,239.00","645.28","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","59,591,118.64","0.22","59,591,118.64","435,353.00","136.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","58,458,472.59","0.22","58,458,472.59","1,994,489.00","29.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","57,484,550.08","0.21","57,484,550.08","757,472.00","75.89","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","57,118,254.41","0.21","57,118,254.41","747,719.00","76.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","56,730,334.85","0.21","56,730,334.85","1,573,657.00","36.05","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","54,325,806.76","0.20","54,325,806.76","386,468.00","140.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","53,719,088.08","0.20","53,719,088.08","970,184.00","55.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","53,674,024.47","0.20","53,674,024.47","1,667,413.00","32.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","52,224,681.84","0.19","52,224,681.84","268,936.00","194.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","52,055,643.00","0.19","52,055,643.00","475,394.00","109.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","51,241,039.36","0.19","51,241,039.36","51,241,039.00","1.00","United States","-","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","51,220,435.68","0.19","51,220,435.68","168,577.00","303.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","49,907,811.00","0.19","49,907,811.00","239,366.00","208.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","49,144,795.27","0.18","49,144,795.27","86,839.00","565.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","48,085,216.92","0.18","48,085,216.92","69,606.00","690.82","United States","NASDAQ","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","46,761,354.38","0.17","46,761,354.38","371,978.00","125.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","46,216,167.70","0.17","46,216,167.70","341,785.00","135.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","46,058,861.40","0.17","46,058,861.40","318,130.00","144.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","45,474,946.02","0.17","45,474,946.02","274,458.00","165.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FERG","FERGUSON PLC","Industrials","Equity","45,052,487.90","0.17","45,052,487.90","201,505.00","223.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","43,083,191.55","0.16","43,083,191.55","122,385.00","352.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","42,358,068.87","0.16","42,358,068.87","481,287.00","88.01","United States","NASDAQ","USD","1.00","USD","-"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Financials","Equity","42,310,676.96","0.16","42,310,676.96","500,008.00","84.62","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","42,153,584.20","0.16","42,153,584.20","126,854.00","332.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"K","KELLANOVA","Consumer Staples","Equity","39,980,156.52","0.15","39,980,156.52","695,549.00","57.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","39,836,747.86","0.15","39,836,747.86","543,179.00","73.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","39,755,595.50","0.15","39,755,595.50","162,766.00","244.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","38,663,848.68","0.14","38,663,848.68","276,348.00","139.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","37,564,254.00","0.14","37,564,254.00","141,219.00","266.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","37,321,066.73","0.14","37,321,066.73","631,597.00","59.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","37,203,836.80","0.14","37,203,836.80","303,680.00","122.51","United States","NASDAQ","USD","1.00","USD","-"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","36,685,379.25","0.14","36,685,379.25","868,293.00","42.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","36,392,826.96","0.14","36,392,826.96","181,167.00","200.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","36,392,461.14","0.14","36,392,461.14","371,238.00","98.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","36,358,469.95","0.14","36,358,469.95","83,435.00","435.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","36,275,740.87","0.14","36,275,740.87","159,953.00","226.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","35,707,033.18","0.13","35,707,033.18","237,398.00","150.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","35,091,814.85","0.13","35,091,814.85","124,417.00","282.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financials","Equity","35,048,764.24","0.13","35,048,764.24","341,074.00","102.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","34,902,296.08","0.13","34,902,296.08","290,804.00","120.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMC","OMNICOM GROUP INC","Communication","Equity","34,887,873.28","0.13","34,887,873.28","374,816.00","93.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","34,786,035.96","0.13","34,786,035.96","87,828.00","396.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","34,184,120.88","0.13","34,184,120.88","293,124.00","116.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","33,630,675.80","0.13","33,630,675.80","652,010.00","51.58","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","33,602,812.80","0.13","33,602,812.80","58,056.00","578.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY BLACK & DECKER INC","Industrials","Equity","33,245,107.50","0.12","33,245,107.50","349,030.00","95.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AES","AES CORP","Utilities","Equity","33,032,964.00","0.12","33,032,964.00","1,805,080.00","18.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","33,007,563.12","0.12","33,007,563.12","210,588.00","156.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","32,469,418.02","0.12","32,469,418.02","47,931.00","677.42","United States","NASDAQ","USD","1.00","USD","-"
